排名,詞彙,出現次數
1,玉叩能旋,1
2,叩能旋止,1
3,能旋止人,1
4,旋止人言,1
5,止人言與,1
6,人言與樂,1
7,言與樂並,1
8,與樂並繁,1
9,樂並繁音,1
10,並繁音忽,1
11,繁音忽已,1
12,音忽已闋,1
13,忽已闋雅,1
14,已闋雅韻,1
15,闋雅韻詘,1
16,雅韻詘然,1
17,韻詘然清,1
18,詘然清佩,1
19,然清佩想,1
20,清佩想停,1
21,佩想停仙,1
22,想停仙步,1
23,停仙步泉,1
24,仙步泉疑,1
25,步泉疑咽,1
26,泉疑咽夜,1
27,疑咽夜聲,1
28,咽夜聲曲,1
29,夜聲曲終,1
30,聲曲終無,1
31,曲終無異,1
32,終無異聽,1
33,無異聽響,1
34,異聽響極,1
35,聽響極有,1
36,響極有餘,1
37,極有餘情,1
38,有餘情特,1
39,餘情特達,1
40,情特達知,1
41,特達知難,1
42,達知難擬,1
43,知難擬玲,1
44,難擬玲瓏,1
45,擬玲瓏豈,1
46,玲瓏豈易,1
47,瓏豈易名,1
48,豈易名昆,1
49,易名昆山,1
50,名昆山如,1
51,昆山如可,1
52,山如可得,1
53,如可得一,1
54,可得一片,1
55,得一片佇,1
56,一片佇為,1
57,片佇為榮,1
